,venue_name,id,capacity,street,zip,latitude,longitude,metro_area,country,city_name
12360,Warren's Rec Room,2896613,,1501 W Newberry Rd,72921,35.5206329,-94.241824,Alma,US,Alma
12361,The Rec Room,1880368,,201 E Post Road,10601,41.0299853,-73.7633526,Yonkers,US,White Plains
12362,Findlay Rec Room,72672,,,16802,40.8084075,-77.8638835,Pittsburgh,US,University Park
12364,The Rec Room,1565408,,1905 Hewitt Ave,98201,47.979369,-122.20398,Seattle,US,Everett
12365,Plnu Rec Room,1552758,,3900 Lomaland Dr,92106,32.7195868,-117.2492086,San Diego,US,San Diego
12368,Rec Room,4233739,,1142 E.11th St.,,34.03125,-118.24584,Los Angeles,US,Los Angeles
12369,Rec Room,1854853,,,,,,Portland,US,Portland
12371,Recher Theater- Rec Room,1081896,,512 York Rd,21204,39.400879,-76.601766,Baltimore,US,Towson
12372,The Rec Room Bar & Grill,3195273,,14920 highway #99 #130,98087,47.86259,-122.2842,Seattle,US,Lynnwood
12373,The Fader Fuse Rec Room,474006,,,,,,New York,US,New York
12376,KC's Rec Room,1902893,,,,,,Nashville,US,Paducah
12377,Irish Rec Room,2179394,,1023 N. Old WOrld 3rd Street,5323,43.0432303,-87.9144762,Milwaukee,US,Milwaukee
